Дата,Заражений,Смертей,Выздоровлений,Заражено на дату
19.12.2020,2819429,50347,2254742,514340
18.12.2020,2791220,49762,2228633,512825
17.12.2020,2762668,49151,2202540,510977
16.12.2020,2734454,48564,2176100,509790
15.12.2020,2707945,47968,2149610,510367
14.12.2020,2681256,47391,2124797,509068
13.12.2020,2653928,46941,2106235,500752
12.12.2020,2625848,46453,2085958,493437
11.12.2020,2597711,45893,2059840,491978
10.12.2020,2569126,45280,2033669,490177
09.12.2020,2541199,44718,2007792,488689
08.12.2020,2515009,44159,1981526,489324
07.12.2020,2488912,43597,1956588,488727
06.12.2020,2460770,43141,1937738,479891
05.12.2020,2431731,42684,1916396,472651
04.12.2020,2402949,42176,1888752,472021
03.12.2020,2375546,41607,1859851,474088
02.12.2020,2347401,41053,1830349,475999
01.12.2020,2322056,40464,1803467,478125
30.11.2020,2295654,39895,1778704,477055
29.11.2020,2269316,39527,1761457,468332
28.11.2020,2242633,39068,1739470,464095
27.11.2020,2215533,38558,1712174,464801
26.11.2020,2187990,38062,1685492,464436
25.11.2020,2162503,37538,1660419,464546
24.11.2020,2138828,37031,1634671,467126
23.11.2020,2114502,36540,1611445,466517
22.11.2020,2089329,36179,1595443,457707
21.11.2020,2064748,35778,1577435,451535
20.11.2020,2039926,35311,1551414,453201
19.11.2020,2015608,34850,1526656,454102
18.11.2020,1991998,34387,1501083,456528
17.11.2020,1971013,33931,1475904,461178
16.11.2020,1948603,33489,1453849,461265
15.11.2020,1925825,33186,1439985,452654
14.11.2020,1903253,32834,1425529,444890
13.11.2020,1880551,32443,1406903,441205
12.11.2020,1858568,32032,1388168,438368
11.11.2020,1836960,31593,1369357,436010
10.11.2020,1817109,31161,1350741,435207
09.11.2020,1796132,30793,1335141,430198
08.11.2020,1774334,30537,1324419,419378
07.11.2020,1753836,30251,1312927,410658
06.11.2020,1733440,29887,1296124,407429
05.11.2020,1712858,29509,1279169,404180
04.11.2020,1693454,29217,1266931,397306
03.11.2020,1673686,28828,1251364,393494
02.11.2020,1655038,28473,1236033,390532
01.11.2020,1636781,28235,1225673,382873
31.10.2020,1618116,27990,1215414,374712
30.10.2020,1599976,27656,1200560,371760
29.10.2020,1581693,27301,1186041,368351
28.10.2020,1563976,26935,1171301,365740
27.10.2020,1547774,26589,1158940,362245
26.10.2020,1531224,26269,1146096,358859
25.10.2020,1513877,26050,1138522,349305
24.10.2020,1497167,25821,1130818,340528
23.10.2020,1480646,25525,1119251,335870
22.10.2020,1463306,25242,1107988,330076
21.10.2020,1447335,24952,1096560,325823
20.10.2020,1431635,24635,1085608,321392
19.10.2020,1415316,24366,1075904,315046
18.10.2020,1399334,24187,1070576,304571
17.10.2020,1384235,24002,1065199,295034
16.10.2020,1369313,23723,1056582,289008
15.10.2020,1354163,23491,1048097,282575
14.10.2020,1340409,23205,1039705,277499
13.10.2020,1326178,22966,1031785,271427
12.10.2020,1312310,22722,1024235,265353
11.10.2020,1298718,22597,1020442,255679
