"university_name, city",university_ege_2017,university_grow_2016_2017,university_gov_stidents_count,university_stidents_compet_count,university_stidents_olimp_count,university_stidents_quot_count,university_stidents_target_count,university_ege_minus_id,university_name,university_city
"Адыгейский государственный университет, г. Майкоп",60.7,0.9,566,542,1,18,5,Нет,Адыгейский государственный университет, Майкоп
"Алтайский государственный аграрный университет, г. Барнаул",52.1,0.5,612,549,0,50,13,Нет,Алтайский государственный аграрный университет, Барнаул
"Алтайский государственный гуманитарно-педагогический университет им. В.М. Шукшина, г. Бийск",59.9,-3.9,159,109,0,13,37,Да,Алтайский государственный гуманитарно-педагогический университет им. В.М. Шукшина, Бийск
"Алтайский государственный медицинский университет, г. Барнаул",72.2,1.3,486,118,2,16,350,Да,Алтайский государственный медицинский университет, Барнаул
"Алтайский государственный педагогический университет, г. Барнаул",63.4,0.1,598,424,0,47,127,Да,Алтайский государственный педагогический университет, Барнаул
"Алтайский государственный технический университет им. И.И. Ползунова, г. Барнаул",63.0,2.5,927,882,6,28,11,Нет,Алтайский государственный технический университет им. И.И. Ползунова, Барнаул
"Алтайский государственный университет, г. Барнаул",69.5,0.2,917,847,18,52,0,Да,Алтайский государственный университет, Барнаул
Альметьевский государственный нефтяной институт,62.1,0.2,290,271,0,8,11,Нет,Альметьевский государственный нефтяной институт,Не определено
"Амурская государственная медицинская академия, г. Благовещенск",62.6,0.5,265,140,0,10,115,Да,"Амурская государственная медицинская академия, г. Благовещенск",Не определено
"Амурский государственный университет, г. Благовещенск",61.2,0.5,536,452,0,49,35,Нет,Амурский государственный университет, Благовещенск
"Амурский гуманитарно-педагогический государственный университет, г. Комсомольск-на-Амуре",59.0,1,253,209,0,23,21,Нет,Амурский гуманитарно-педагогический государственный университет, Комсомольск-на-Амуре
Ангарский государственный технический университет,53.5,-0.2,195,182,0,13,0,Нет,Ангарский государственный технический университет,Не определено
Армавирская государственная педагогическая академия,66.0,-1.1,369,244,0,25,100,Нет,Армавирская государственная педагогическая академия,Не определено
Астраханский государственный медицинский университет,70.1,0.7,267,56,0,26,185,Да,Астраханский государственный медицинский университет,Не определено
Астраханский государственный технический университет,57.9,-0.3,616,561,0,16,39,Нет,Астраханский государственный технический университет,Не определено
Астраханский государственный университет,63.5,0.3,601,522,0,44,35,Да,Астраханский государственный университет,Не определено
Астраханский инженерно-строительный институт,59.0,1.7,160,148,0,2,10,Да,Астраханский инженерно-строительный институт,Не определено
"Байкальский государственный университет, г. Иркутск",71.5,0.5,245,213,0,31,1,Да,Байкальский государственный университет, Иркутск
"Балтийская государственная академия рыбопромыслового флота, г. Калининград",55.2,0.8,268,261,0,7,0,Да,Балтийская государственная академия рыбопромыслового флота, Калининград
"Балтийский государственный технический университет ""Военмех"" им. Д.Ф. Устинова, г. Санкт-Петербург",68.0,-0.6,880,599,0,14,267,Нет,"Балтийский государственный технический университет ""Военмех"" им. Д.Ф. Устинова", Санкт-Петербург
Балтийский федеральный университет им. И. Канта,72.6,0.2,894,828,2,31,33,Да,Балтийский федеральный университет им. И. Канта,Не определено
"Башкирский государственный аграрный университет, г. Уфа",57.3,3.3,501,350,0,26,125,Нет,Башкирский государственный аграрный университет, Уфа
"Башкирский государственный медицинский университет, г. Уфа",76.0,0.5,645,260,1,24,360,Да,Башкирский государственный медицинский университет, Уфа
"Башкирский государственный педагогический университет им. М. Акмуллы, г. Уфа",67.5,2.6,625,530,1,41,53,Нет,Башкирский государственный педагогический университет им. М. Акмуллы, Уфа
"Башкирский государственный университет, г. Уфа",67.5,0.3,819,731,3,42,43,Нет,Башкирский государственный университет, Уфа
Белгородский государственный аграрный университет им. В.Я. Горина,56.1,2.2,424,361,0,19,44,Нет,Белгородский государственный аграрный университет им. В.Я. Горина,Не определено
Белгородский государственный институт искусств и культуры,77.4,2.5,111,98,0,4,9,Нет,Белгородский государственный институт искусств и культуры,Не определено
Белгородский государственный национальный исследовательский университет,68.9,-1.9,791,660,1,49,81,Да,Белгородский государственный национальный исследовательский университет,Не определено
Белгородский государственный технологический университет им. В.Г. Шухова,67.3,2.3,995,942,2,29,22,Да,Белгородский государственный технологический университет им. В.Г. Шухова,Не определено
Благовещенский государственный педагогический университет,61.2,0,369,337,0,24,8,Нет,Благовещенский государственный педагогический университет,Не определено
Братский государственный университет,51.0,-3,389,370,0,19,0,Нет,Братский государственный университет,Не определено
Брянская государственная сельскохозяйственная академия,56.3,-0.9,341,305,0,25,11,Нет,Брянская государственная сельскохозяйственная академия,Не определено
Брянский государственный инженерно-технологический университет,56.5,2.2,255,241,0,9,5,Да,Брянский государственный инженерно-технологический университет,Не определено
Брянский государственный технический университет,58.8,-0.5,630,583,0,13,34,Да,Брянский государственный технический университет,Не определено
Брянский государственный университет им. И.Г. Петровского,72.5,2,411,372,0,32,7,Нет,Брянский государственный университет им. И.Г. Петровского,Не определено
